feature,importance
away_leading,0.2809764
home_leading,0.18305276
is_draw,0.16613236
goal_difference,0.15577763
late_game,0.054247968
early_game,0.020634515
injury_time_risk,0.01715807
away_pressure,0.012327943
time_remaining,0.0120440135
minute,0.011809077
total_goals_so_far,0.010849588
home_xg_pre,0.0097987745
home_pressure,0.0094753625
xg_diff,0.009357422
total_xg,0.0077274134
away_xg_pre,0.0067160837
away_score,0.0066971667
away_red_card,0.005582921
home_score,0.0055658096
home_red_card,0.0040691947
momentum_intensity,0.0022524016
away_recent_momentum,0.0022402112
momentum_diff,0.0021601054
home_recent_momentum,0.0019983212
mid_game,0.0013484778
